                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.91189,                0.77053,                 1.0486,                0.88228,                0.77787,                0.86007,                0.69807,                 0.7939,                 0.6006,                0.95515,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88126,                0.77313,                 1.0615,                0.88918,                0.77346,                 0.8612,                0.70302,                0.79445,                0.59668,                0.95322,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88822,                0.78034,                 1.0622,                0.87095,                0.79135,                0.86354,                0.70629,                0.79592,                0.59401,                 0.9526,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 0.9076,                0.78082,                 1.0569,                0.87328,                0.79113,                0.86418,                0.70658,                0.79396,                0.58999,                0.95147,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91805,                0.80848,                 1.0699,                0.86503,                0.79546,                  0.866,                0.70617,                 0.7927,                0.58484,                0.95114,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.85532,                0.74083,                 1.0433,                0.85035,                0.80876,                0.86638,                0.70771,                0.79082,                0.58264,                0.94996,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91379,                0.75613,                 1.0596,                0.85823,                0.80698,                0.87698,                0.71458,                0.78509,                0.57718,                 0.9476,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87889,                0.76021,                 1.0581,                0.86519,                0.80914,                0.87735,                0.71653,                0.78099,                0.57275,                0.94556,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.87704,                0.75004,                 1.0338,                0.88207,                0.79564,                0.87251,                0.71916,                 0.7735,                0.56747,                0.94303,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.94597,                0.80262,                 1.0725,                0.87355,                0.79651,                0.87272,                0.72124,                0.76963,                0.56641,                0.94101,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.86996,                 0.7394,                 1.0433,                0.88723,                0.78758,                0.87236,                0.71897,                0.76629,                0.56385,                0.93992,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.87901,                0.74057,                  1.056,                0.86445,                0.80666,                0.87287,                0.72273,                0.76029,                0.55927,                0.93882,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 0.8604,                0.74918,                 1.0654,                0.87002,                0.79947,                0.87263,                0.72171,                0.76082,                0.55435,                0.93849,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87374,                0.70777,                 1.0417,                 0.8677,                0.79867,                0.87441,                0.72096,                0.76297,                0.55515,                0.93862,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 0.8713,                0.74422,                 1.0413,                0.87357,                0.80592,                 0.8824,                0.72538,                0.76137,                0.55445,                0.93857,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.89506,                0.76232,                 1.0642,                0.87779,                0.80665,                0.88365,                 0.7263,                0.75886,                0.55733,                0.93765,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.85457,                0.71785,                 1.0563,                0.82814,                0.85258,                0.88707,                0.72848,                0.75521,                0.55747,                 0.9367,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87582,                 0.7297,                 1.0373,                0.87516,                0.82673,                0.88488,                0.73028,                0.75297,                0.55441,                0.93542,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 0.8081,                0.71656,                 1.0267,                0.90071,                0.80817,                0.88554,                0.72971,                0.74996,                0.54537,                0.93382,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86138,                 0.7433,                 1.0368,                0.91024,                0.80684,                0.88792,                0.73164,                0.74635,                0.53969,                0.93262,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90355,                0.73931,                 1.0342,                0.90556,                0.81146,                0.88827,                0.73243,                0.74526,                0.53712,                0.93184,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 0.8536,                0.72211,                 1.0462,                0.90467,                0.80857,                0.88683,                0.73239,                0.74516,                0.53797,                0.93171,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.86059,                0.72082,                 1.0407,                0.91102,                0.80714,                0.88673,                0.73481,                0.74392,                0.53859,                 0.9311,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 0.8319,                0.69867,                 1.0384,                0.90873,                0.81285,                0.88758,                0.73455,                0.74112,                0.54095,                0.92967,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.87105,                0.74887,                 1.0371,                0.90615,                0.81063,                0.88419,                0.73663,                0.73844,                0.54225,                0.92871,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81126,                0.69388,                 1.0259,                0.88522,                0.81622,                0.87734,                0.73738,                0.73602,                0.54105,                0.92776,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.86267,                0.71873,                 1.0373,                0.91311,                0.80322,                0.87998,                0.73737,                0.73265,                0.53882,                0.92687,             3.7711e-05,             3.7711e-05,             3.7711e-05
